Parishes Name,Week Plague01,Week Percent01,Week Plague02,Week Percent02,Week Plague03,Week Percent03,Week Plague04,Week Percent04,Week Plague05,Week Percent05,Week Plague06,Week Percent06,Week Plague07,Week Percent07,Week Plague08,Week Percent08,Week Plague9,Week Percent9,Week Plague10,Week Percent10,Week Plague11,Week Percent11,Week Plague12,Week Percent12,Week Plague13,Week Percent13,Week Plague14,Week Percent14,Week Plague15,Week Percent15,Week Plague16,Week Percent16,Week Plague17,Week Percent17,Week Plague18,Week Percent18,Week Plague19,Week Percent19,Week Plague20,Week Percent20,Week Plague21,Week Percent21,Week Plague22,Week Percent22,Week Plague23,Week Percent23,Week Plague24,Week Percent24,Week Plague25,Week Percent25,Week Plague26,Week Percent26,Week Plague27,Week Percent27,Week Plague28,Week Percent28,Week Plague29,Week Percent29,Week Plague30,Week Percent30,Week Plague31,Week Percent31,Week Plague32,Week Percent32,Week Plague33,Week Percent33,Week Plague34,Week Percent34,Week Plague35,Week Percent35,Week Plague36,Week Percent36,Week Plague37,Week Percent37,Week Plague38,Week Percent38,Week Plague39,Week Percent39,Week Plague40,Week Percent40,Week Plague41,Week Percent41,Week Plague42,Week Percent42,Week Plague43,Week Percent43,Week Plague44,Week Percent44,Week Plague45,Week Percent45,Week Plague46,Week Percent46,Week Plague47,Week Percent47,Week Plague48,Week Percent48,Week Plague49,Week Percent49,Week Plague50,Week Percent50,Week Plague51,Week Percent51,Week Plague52,Week Percent52
Alhallows Hony Lane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,1,100,0,0,1,100,0,0,1,100,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All Hallows Bread Str,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33,1,50,1,100,0,0,1,50,0,0,3,75,3,100,1,100,2,100,1,100,0,0,0,0,1,100,1,100,0,0,0,0,0,0,0,0,0,0
Allhallows Barking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0,0,0,0,0,0,0,3,38,7,70,11,85,21,84,23,74,32,76,32,78,41,79,34,74,26,67,26,84,16,94,18,95,19,86,10,83,6,86,4,50,0,0,0,0,0,0
Allhallows Lumbard Str,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,3,75,4,80,4,67,7,88,6,86,5,71,7,88,10,91,5,100,5,100,2,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,2,100,0,0
Allhallows Staining,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,50,1,100,0,0,1,33,3,60,5,71,5,71,11,79,8,62,10,62,11,69,18,86,8,67,9,90,2,50,7,78,5,83,6,86,1,33,0,0,0,0,0,0,0,0
Allhallows the Wall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,75,5,71,5,62,3,50,13,87,18,82,11,48,40,91,40,87,40,89,30,73,35,85,28,85,28,90,13,87,5,71,6,86,14,82,10,100,5,83,2,67,0,0,1,25,1,25
Allhallows ye great,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,2,33,2,40,0,0,5,62,5,83,10,48,9,43,32,78,53,90,59,92,41,98,34,89,30,94,14,93,9,82,11,92,7,100,5,83,5,71,0,0,0,0,2,100
Allhallows ye less,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,100,1,33,1,50,0,0,2,67,9,82,16,94,17,89,26,90,24,96,17,100,21,100,16,89,4,100,3,43,7,88,3,100,2,40,2,100,0,0,0,0,2,100
Christ church,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,4,57,3,60,6,50,12,75,13,76,15,68,20,65,22,81,37,86,61,90,39,91,48,87,43,88,39,89,30,88,24,89,12,71,8,100,12,92,8,80,3,100,5,42,0,0,1,33,2,33
Norton Folgate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,17,14,40,34,60,65,71,81,79,173,84,212,89,346,93,439,99,570,98,589,95,433,92,338,91,284,93,155,92,82,83,53,82,68,80,44,80,24,73,8,36,7,41,16,89,11,48
Precinct of Bridewell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,2,100,1,100,0,0,4,57,2,100,5,71,2,50,5,71,9,75,17,94,19,86,31,97,24,92,23,100,14,70,4,67,2,67,3,60,3,100,1,100,2,100,1,50,2,67,0,0,2,100
S Giles in the Fields,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,3,10,1,3,7,18,9,17,31,42,68,57,101,67,143,77,149,73,213,79,218,81,323,87,229,81,259,89,242,87,220,108,146,86,178,88,156,93,125,89,107,90,78,82,74,85,43,75,38,86,20,67,24,75,21,81,16,73,4,31,4,50,7,64,2,29
S James Clerkenwell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,8,62,10,29,50,77,78,88,121,85,92,89,136,92,145,94,172,100,122,86,119,87,73,78,67,87,64,84,42,88,31,72,16,64,6,40,5,38,5,42,4,33,2,25,3,75,2,40,0,0,1,17
S Katherine Tower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,2,33,4,36,4,40,12,75,18,75,34,85,71,82,87,74,61,63,66,71,62,79,39,71,45,71,25,66,19,73,13,62,8,62,9,64,7,78,5,71,3,33,2,40,4,57
S Leonard Shoreditch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,33,13,62,40,62,50,60,65,59,122,67,163,79,168,67,238,85,276,92,210,89,173,95,138,95,91,96,72,95,42,84,20,71,10,71,21,75,14,74,6,60,2,33,2,33,2,25,4,67
S Mary Savoy,0,0,0,0,0,0,0,0,0,0,0,0,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,0,0,4,57,6,75,4,100,8,67,7,64,6,75,12,80,10,91,16,64,21,88,13,68,19,95,13,65,16,84,14,93,3,100,3,100,2,67,7,88,2,67,4,67,3,100,0,0,1,100,3,50
S Mary Whitechapel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,3,13,0,0,0,0,6,33,3,19,21,50,48,57,79,76,158,89,240,84,274,68,462,93,540,92,400,93,502,94,320,92,301,92,203,89,103,83,46,77,21,57,40,70,29,63,30,86,4,36,11,65,7,39,7,44
St Alban Woodstrt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33,2,50,0,0,0,0,1,20,2,50,1,50,0,0,8,89,5,62,8,73,12,75,9,75,7,58,19,83,5,50,12,75,15,88,2,40,3,60,1,33,3,100,2,100,1,50,1,50,0,0,0,0,1,100
St Alphage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,100,5,36,9,56,10,56,22,58,22,55,13,42,13,52,3,27,5,38,4,50,1,20,0,0,1,25,0,0,1,50,2,50,0,0,0,0,1,100,0,0
St Andrew Holborn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,1,6,1,5,7,35,10,42,15,41,35,73,40,61,91,78,142,87,193,89,183,96,272,70,220,95,380,95,345,97,235,92,247,91,184,91,151,87,127,86,55,81,32,70,31,78,36,84,28,74,18,72,10,67,2,14,7,54,4,31
St Andrew Hubbard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,3,75,0,0,0,0,0,0,0,0,0,0,3,50,1,50,5,83,0,0,0,0,2,50,2,100,0,0,2,100,3,50,1,50,0,0,0,0,0,0,2,67,0,0
St Andrew Undersh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,4,67,6,60,9,100,11,85,9,64,14,78,24,80,19,76,22,88,22,85,14,88,6,60,7,64,4,80,3,75,7,78,3,75,1,50,1,100,0,0,0,0,2,50
St Andrew Wardrobe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,40,2,33,0,0,8,73,16,67,16,76,29,83,37,77,35,76,64,102,37,74,24,80,15,65,11,85,7,88,2,33,4,50,3,60,3,75,1,50,0,0,0,0,2,50
St Ann Aldersgate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,6,40,11,61,13,62,24,80,25,81,28,85,16,80,27,96,15,100,10,100,6,100,2,100,4,80,3,75,3,75,0,0,0,0,1,50,2,67
St Ann Blackfriers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,86,5,50,5,26,6,60,15,71,10,91,17,77,31,76,36,77,56,88,65,82,31,79,50,88,52,85,28,93,13,76,6,67,13,72,12,92,2,40,4,67,1,33,2,100,1,100
St Antholins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,2,50,9,90,1,50,5,83,7,88,4,57,1,100,2,100,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0
St Austin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,1,50,0,0,3,100,1,100,3,75,2,100,3,60,3,75,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St Bartholomew the Great,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,4,100,2,50,9,69,7,47,10,71,17,57,48,75,50,86,65,90,42,88,21,66,17,81,16,80,15,88,3,50,5,56,0,0,1,33,4,100,0,0,2,67,2,100,1,100,0,0,0,0
St Bartholomew the Less,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,40,6,50,8,89,15,79,8,67,21,91,19,100,12,86,11,100,7,100,7,100,3,60,5,83,5,83,3,100,4,100,1,50,1,100,0,0,0,0,1,100
St Batholomw Exchan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,2,100,3,75,2,100,5,83,3,100,6,100,7,100,4,100,3,75,4,80,1,50,2,100,4,100,1,33,2,100,1,100,0,0,0,0
St Bennet Fink,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,2,100,2,100,2,40,3,60,0,0,0,0,2,50,1,50,5,100,1,50,0,0,1,50,1,100,0,0,0,0,0,0,0,0,0,0
St Bennet Gracech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,3,100,0,0,1,100,1,100,4,80,4,80,2,67,2,50,10,91,4,100,2,100,0,0,1,100,1,50,0,0,2,100,1,100,2,100,0,0
St Bennet Sherehog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100
St Bennt Pauls wharf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,67,0,0,2,33,0,0,1,17,2,20,4,67,2,22,7,54,8,50,31,76,21,70,19,63,15,43,19,63,7,47,9,41,8,80,5,83,0,0,5,71,3,100,1,100,0,0,0,0,1,50,0,0
St Botolph Aldersgate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,75,4,50,9,82,5,62,17,49,23,62,46,81,47,77,61,87,80,88,79,85,61,87,62,91,64,96,64,90,42,100,28,85,15,94,11,85,14,93,5,83,6,86,0,0,0,0,4,57,5,56
St Botolph Bishopsgate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0,2,13,2,10,3,27,17,45,20,54,39,60,77,73,80,69,133,74,196,76,236,82,280,89,299,81,298,84,256,87,145,78,121,79,119,82,53,75,30,73,24,86,24,71,17,74,11,79,5,62,5,50,3,23,4,29
St Botolph Bps gate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,100,1,33,2,40,4,100,2,67,8,100,4,100,7,100,3,100,3,50,5,100,4,67,3,75,0,0,0,0,1,100,1,50
St Bride,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,2,29,3,19,7,35,14,58,16,52,39,66,36,68,66,81,90,87,119,81,152,84,189,86,149,84,180,76,91,78,67,73,88,80,43,68,17,71,15,52,16,67,10,56,6,43,2,18,1,17,4,57,2,29
St Christophers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,1,100,2,67,0,0,2,50,0,0,0,0,7,88,4,100,5,83,6,100,4,100,4,67,3,100,4,100,0,0,2,100,1,100,0,0,0,0,0,0,1,100,0,0
St Clement Danes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,25,2,20,5,26,4,40,0,0,8,57,7,37,16,57,19,58,15,52,24,77,45,73,42,70,42,69,57,77,78,83,82,75,114,80,98,79,140,83,128,84,110,86,104,88,55,73,30,83,16,70,28,74,19,59,7,47,4,36,1,25,10,71,4,40
St Clement Eastcheap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,2,100,1,100,1,33,3,100,3,100,1,100,1,100,1,50,0,0,1,50,0,0,1,33,0,0,1,100,1,100,0,0,0,0,2,100
St Dionis Backchurch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,1,50,1,50,2,67,1,100,2,100,3,30,2,40,2,22,5,71,1,33,1,50,4,80,1,33,0,0,0,0,0,0,0,0,0,0,0,0
St Dunstan East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33,2,29,5,56,6,55,12,92,10,50,17,81,24,86,20,71,17,81,7,70,4,100,5,71,4,80,3,75,6,75,2,100,1,33,4,67
St Dunstan in the West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,0,0,2,25,0,0,0,0,0,0,5,62,9,47,3,75,11,65,10,67,20,77,25,71,29,81,42,79,74,86,50,83,79,90,58,81,59,94,56,90,35,80,21,75,15,71,13,65,17,85,9,56,5,62,2,67,2,67,3,75
St Edmund Lumbd St,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,100,1,50,0,0,2,100,4,100,3,60,1,33,10,83,4,100,1,100,0,0,0,0,3,60,3,60,0,0,0,0,0,0,2,67
St Ethelborough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,82,2,50,9,90,8,47,7,54,18,78,9,69,10,56,6,38,7,64,4,57,7,70,1,50,2,40,0,0,0,0,1,33,0,0,1,100,0,0,0,0,0,0
St Faith,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,0,0,6,100,0,0,4,57,8,73,6,86,10,77,6,75,12,92,6,100,1,33,3,100,1,50,1,50,0,0,1,100,1,50,1,100,2,100
St Gabrll Fenchurch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,100,0,0,3,50,6,86,3,100,4,80,5,83,1,50,0,0,4,100,6,100,1,50,0,0,0,0,0,0,1,100
St George Bot Lane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,60,0,0,1,100,4,80,7,100,0,0,3,100,1,25,4,80,2,67,0,0,0,0,0,0,2,100
St Giles Cripplegate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,1,3,3,8,7,17,32,33,49,48,114,49,208,49,302,55,356,52,521,59,572,68,605,72,567,82,401,80,373,82,225,81,151,77,138,85,67,76,28,50,22,56,39,81,23,68,17,61,2,20,3,20,3,27,7,37
St Gregory by St Pauls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,50,3,25,5,56,6,50,11,73,5,56,25,78,20,91,19,68,23,72,26,84,25,96,21,95,12,92,4,80,5,83,8,89,5,62,4,100,1,33,0,0,1,100,0,0
St Hellen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,100,0,0,2,100,1,100,2,67,10,91,11,100,6,86,10,100,6,75,8,100,3,75,5,83,2,100,4,100,0,0,1,33,1,100,0,0,0,0,1,100,0,0,0,0,0,0
St James Dukes place,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,67,6,86,6,67,5,71,6,67,5,62,20,91,26,90,21,88,23,85,25,83,18,86,8,80,6,67,3,75,3,100,1,100,2,100,1,100,1,50,0,0
St James Garlick hith,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,3,100,1,33,4,67,4,57,8,67,11,85,10,71,12,75,11,92,15,79,8,89,6,86,8,80,8,67,3,60,2,67,0,0,2,33,1,100
