Parishes Name,Week Plague01,Week Percent01,Week Plague02,Week Percent02,Week Plague03,Week Percent03,Week Plague04,Week Percent04,Week Plague05,Week Percent05,Week Plague06,Week Percent06,Week Plague07,Week Percent07,Week Plague08,Week Percent08,Week Plague9,Week Percent9,Week Plague10,Week Percent10,Week Plague11,Week Percent11,Week Plague12,Week Percent12,Week Plague13,Week Percent13,Week Plague14,Week Percent14,Week Plague15,Week Percent15,Week Plague16,Week Percent16,Week Plague17,Week Percent17,Week Plague18,Week Percent18,Week Plague19,Week Percent19,Week Plague20,Week Percent20,Week Plague21,Week Percent21,Week Plague22,Week Percent22,Week Plague23,Week Percent23,Week Plague24,Week Percent24,Week Plague25,Week Percent25,Week Plague26,Week Percent26,Week Plague27,Week Percent27,Week Plague28,Week Percent28,Week Plague29,Week Percent29,Week Plague30,Week Percent30,Week Plague31,Week Percent31,Week Plague32,Week Percent32,Week Plague33,Week Percent33,Week Plague34,Week Percent34,Week Plague35,Week Percent35,Week Plague36,Week Percent36,Week Plague37,Week Percent37,Week Plague38,Week Percent38,Week Plague39,Week Percent39,Week Plague40,Week Percent40,Week Plague41,Week Percent41,Week Plague42,Week Percent42,Week Plague43,Week Percent43,Week Plague44,Week Percent44,Week Plague45,Week Percent45,Week Plague46,Week Percent46,Week Plague47,Week Percent47,Week Plague48,Week Percent48,Week Plague49,Week Percent49,Week Plague50,Week Percent50,Week Plague51,Week Percent51,Week Plague52,Week Percent52
St John Baptist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,2,100,1,100,4,57,5,83,9,90,3,100,6,86,7,70,10,91,7,64,6,86,2,50,2,67,3,38,5,56,3,60,3,75,1,100,3,100,0,0
St John Evangelist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St John Zachary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,1,50,2,100,1,100,1,100,1,50,1,100,1,100,7,88,1,33,2,67,7,78,9,75,5,100,6,86,5,83,2,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0
St Katherine Coleman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,5,56,10,59,22,85,36,82,35,97,16,80,30,88,24,86,8,80,5,83,6,100,7,100,7,88,1,100,0,0,0,0,0,0
St Katherine Creechur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,2,67,4,57,5,62,19,83,33,79,31,89,20,67,29,85,23,96,11,79,10,77,5,71,10,83,9,60,6,75,4,80,1,50,3,75,5,56
St Laurence Jewry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33,3,43,1,50,8,67,4,67,1,33,6,75,5,71,5,83,4,100,3,75,0,0,1,100,1,50,1,50,0,0,0,0,3,75,0,0,1,100
St Laurence Poultney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,50,5,83,9,50,14,70,13,76,17,77,14,82,10,71,15,88,14,78,6,67,2,40,8,73,5,100,2,67,1,100,1,100,0,0,1,50
St Leonard Eastche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,1,50,4,80,2,67,3,100,5,100,3,75,3,75,1,100,2,100,2,100,0,0,0,0,0,0,0,0,0,0
St Leonard Foster Lane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,1,50,5,83,11,100,9,69,13,76,30,88,33,94,20,87,32,94,27,90,13,81,33,92,6,100,5,71,2,50,3,60,6,100,2,67,1,50,1,33,1,100,0,0
St Magnus Parish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33,1,50,2,67,4,50,2,100,4,100,6,75,8,89,6,86,1,33,4,80,4,80,5,83,4,80,2,67,1,50,3,100,1,100,1,100,0,0,0,0,0,0
St Margaret Moses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,3,100,3,100,2,67,5,100,3,100,0,0,0,0,3,100,0,0,1,25,0,0,1,100,0,0,1,100,0,0,0,0,2,100
St Margt Lothbury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,6,67,2,67,1,50,0,0,8,80,6,86,8,100,5,83,6,86,5,83,3,100,3,75,2,67,4,100,3,100,1,100,0,0,0,0,2,100,0,0
St Margt New fish St,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,3,33,6,67,13,76,7,100,13,72,6,75,5,62,2,67,1,50,6,67,2,67,1,100,0,0,0,0,0,0,0,0
St Margt Pattons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,50,3,60,4,80,3,75,4,50,3,75,1,100,1,100,1,50,0,0,0,0,1,0,0,0,0,0,0,0
St Martin Ironmon L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,1,100,2,100,2,100,3,100,0,0,0,0,0,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0
St Martin Ludgate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,0,0,1,100,0,0,2,100,4,80,4,100,6,67,14,88,10,71,11,52,20,74,10,83,16,94,12,92,3,75,1,20,5,83,3,100,0,0,0,0,1,33,2,100,5,125
St Martin Orgars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,0,0,6,75,9,90,15,94,11,92,7,78,3,38,5,62,5,100,1,50,1,50,4,80,1,100,0,0,1,100,0,0,0,0,0,0,1,100
St Martin Outwich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,0,0,2,100,1,100,0,0,4,80,4,67,4,100,3,38,5,100,5,83,5,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St Martin Vintry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,5,83,4,67,4,57,7,70,17,100,22,96,23,92,35,97,61,95,36,95,44,100,34,89,19,79,6,75,10,91,7,100,7,58,3,60,4,100,0,0,0,0,0,0
St Mary Abchurch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,80,2,40,4,80,9,69,4,67,5,71,2,40,6,46,5,100,0,0,4,100,3,60,0,0,0,0,0,0,5,100,1,50
St Mary Aldermanbury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,2,33,1,20,2,22,5,45,7,64,15,100,7,58,16,80,15,79,14,100,6,86,6,86,3,100,4,100,3,43,0,0,0,0,0,0,0,0,0,0,0,0
St Mary Aldermary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,100,0,0,3,60,1,50,1,50,6,75,7,100,7,78,10,91,12,92,4,100,6,75,3,75,0,0,0,0,7,78,0,0,3,100,3,75,1,100,0,0,0,0
St Mary Bothaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,5,100,4,57,0,0,8,89,0,0,4,67,2,100,3,100,0,0,0,0,2,100,0,0,0,0,0,0,0,0,0,0,1,100
St Mary Colechurch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,1,50,2,67,1,33,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St Mary Hill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,1,50,5,71,4,80,8,67,4,80,8,73,6,100,6,86,2,100,3,100,4,100,6,100,2,50,0,0,1,100,3,100,0,0
St Mary Magd Milk Street,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,2,100,7,88,3,60,0,0,3,60,1,50,4,100,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St Mary Magdalen O F St,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,2,100,1,33,4,50,5,83,21,88,13,81,11,69,8,80,6,75,8,67,12,86,1,50,7,78,5,83,7,88,4,100,1,100,0,0,1,100,3,100
St Mary Mounthaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,2,100,0,0,2,50,0,0,3,60,2,67,7,88,9,100,3,100,3,75,2,50,0,0,1,50,0,0,1,100,0,0,0,0,0,0,0,0,1,100,0,0
St Mary Somerset,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,1,100,0,0,2,67,4,100,10,83,5,83,18,82,12,86,18,95,34,94,26,87,38,86,26,87,18,82,10,91,5,71,12,80,9,100,5,100,3,60,2,67,2,100,1,33
St Mary Staining,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,1,50,0,0,4,80,5,100,5,83,1,50,6,75,2,67,2,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St Mary Woolchurch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33,2,100,6,100,4,57,5,83,5,83,4,67,1,33,1,100,2,67,0,0,0,0,0,0,1,33,0,0
St Mary Woolnoth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,1,100,1,50,2,67,2,67,6,67,6,55,5,71,5,62,3,75,0,0,4,80,0,0,0,0,2,67,0,0,0,0,0,0,0,0
St Mary le Bow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,1,33,3,50,6,100,4,67,8,89,1,50,2,50,1,33,1,100,2,100,2,100,0,0,0,0,0,0,1,100,0,0,0,0,0,0,1,100,2,67
St Mathew Friday Str,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,1,100,0,0,0,0,2,67,0,0,0,0,0,0,2,67,0,0,0,0,0,0,0,0,0,0,0,0
St Michael Bassishaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,8,100,4,80,10,77,22,92,6,75,7,64,7,64,11,92,18,95,11,58,9,69,12,71,16,89,7,70,7,64,5,83,1,50,0,0,1,50,0,0,1,50,0,0,0,0,0,0,0,0
St Michael Cornhill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33,1,33,7,64,8,67,11,79,5,71,3,75,4,50,4,100,4,100,0,0,1,33,2,100,0,0,0,0,1,50,0,0,0,0
St Michael Crookd la,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,100,2,100,1,50,2,50,3,75,3,100,0,0,2,100,0,0,0,0,4,57,3,50,5,100,11,85,10,100,13,87,12,80,17,100,10,91,8,100,6,86,5,100,6,75,1,100,2,50,1,100,2,67,2,100
St Michael Querne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,100,0,0,0,0,0,0,0,0,1,100,2,67,3,75,3,75,3,75,2,67,0,0,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St Michael Royal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,5,71,1,50,11,79,4,100,10,91,17,85,12,86,17,85,14,93,9,90,3,60,3,50,3,75,2,67,1,50,1,100,1,100,0,0,1,100
St Michael Wood str,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,100,1,33,4,36,1,50,6,75,8,80,2,29,2,33,5,56,3,50,13,93,3,60,4,67,1,50,3,75,2,67,0,0,1,100,0,0,0,0,0,0
St Michll Queenhith,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,100,0,0,1,50,0,0,6,86,11,61,12,71,9,82,6,55,10,83,23,92,3,75,16,84,7,78,5,100,1,33,3,100,2,50,0,0,0,0,0,0,5,83
St Mildred Bred str,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,2,100,2,67,7,78,3,50,1,100,4,100,1,33,3,100,1,100,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0
St Mildred Poultry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,100,1,50,2,67,1,100,3,75,4,100,1,100,7,88,2,50,4,100,2,50,8,89,4,100,1,100,0,0,3,75,0,0,1,100,0,0,0,0,0,0,0,0
St Nicholas Acon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,1,100,0,0,2,67,7,88,5,71,3,75,1,50,1,100,1,100,1,100,1,100,3,100,1,33,0,0,0,0,0,0,0,0
St Nicholas Coleab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,1,100,5,71,0,0,3,60,8,100,6,86,13,93,14,100,8,100,10,91,7,78,2,100,4,80,4,80,2,100,3,75,0,0,0,0,0,0,0,0
St Nicholas Olave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,0,0,1,33,6,100,7,88,3,100,9,75,4,57,8,100,7,100,4,100,2,50,3,100,3,75,2,100,1,100,0,0,0,0,0,0,1,100
St Olave Hart street,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,3,33,2,50,6,86,4,57,6,67,10,83,13,93,18,90,19,95,11,85,21,91,14,88,4,80,7,100,7,64,7,78,0,0,0,0,1,33,6,75,0,0
St Olave Jewry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,1,100,4,50,4,80,3,75,5,71,1,100,4,80,2,67,0,0,2,100,2,100,1,100,0,0,1,100,0,0,0,0,0,0,1,100
St Olave Silver Strt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,1,25,1,20,0,0,3,20,8,47,12,57,15,65,17,74,18,78,12,63,17,74,7,78,4,100,5,83,5,83,4,67,1,50,1,100,0,0,0,0,1,33,0,0,0,0,0,0
St Pancras Soper La,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,100,1,25,0,0,2,100,3,75,1,100,4,100,0,0,1,100,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0
St Peter Cheap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,3,50,4,80,3,75,5,83,3,100,4,67,7,100,3,100,0,0,1,100,1,100,0,0,0,0,0,0,0,0,0,0
St Peter Cornhil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,100,3,75,2,67,3,100,4,80,6,86,1,25,2,50,3,38,6,60,10,100,6,75,5,56,9,82,0,0,5,71,3,60,3,75,0,0,2,67,0,0,0,0,1,50
St Peter Poor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,2,100,0,0,1,100,1,50,2,67,1,100,2,100,6,86,6,100,6,75,7,88,2,50,6,100,0,0,1,100,2,67,0,0,0,0,1,50,0,0,0,0,0,0
St Peters Pauls wharf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,1,100,2,40,7,70,7,88,9,90,12,100,11,73,10,100,11,92,4,80,3,75,1,100,2,50,4,100,0,0,0,0,0,0,0,0,1,100
St Sepulcres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,40,11,34,18,40,48,62,81,69,100,67,141,68,160,64,205,63,241,66,227,56,336,75,264,77,206,73,214,71,138,72,95,69,84,69,40,60,19,48,11,50,16,59,13,50,9,64,3,19,2,17,0,0,2,18
St Stephen Coleman st,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,50,1,50,1,17,4,57,7,64,10,67,10,71,11,73,29,81,38,81,31,86,40,85,51,91,38,88,41,93,28,80,10,83,12,92,9,90,13,100,8,89,4,100,1,100,2,100,0,0
St Stephen Walbroke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,1,50,5,100,2,67,2,100,1,100,0,0,2,100,1,100,1,100,1,100,0,0,0,0,0,0,0,0,0,0
St Swithin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,0,0,7,78,2,50,1,33,2,67,2,100,2,50,2,50,2,100,9,82,6,86,5,83,4,67,4,80,0,0,0,0,1,33,2,50,2,67,0,0,0,0,1,100,1,100
St Thomas Apostle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,1,33,7,78,2,50,8,80,6,67,7,88,10,83,7,64,8,80,17,89,5,71,4,50,10,91,4,100,2,67,3,75,4,80,3,60,1,100,0,0,0,0,0,0,0,0
St Thomas Apostle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,2,40,5,71,2,67,6,75,2,40,8,89,4,80,21,88,22,81,33,82,44,88,52,91,36,92,36,90,32,84,23,85,10,91,5,100,8,80,9,90,8,89,0,0,0,0,2,67,0,0
St Vedast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,100,1,50,4,57,8,80,11,85,13,93,12,86,7,78,9,90,9,90,6,75,6,86,5,83,2,100,1,100,0,0,3,100,2,100,1,100,0,0,0,0,2,67
Stepney Parish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,5,1,6,33,46,58,53,76,60,136,67,197,67,273,74,442,83,666,90,685,92,686,96,579,94,631,94,593,92,366,92,246,87,165,85,253,90,19,9,103,80,75,90,43,64,38,62,44,62
Trinity Minories,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,1,100,4,80,0,0,0,0,5,62,4,80,19,83,10,71,10,83,18,86,21,88,15,100,12,86,2,100,2,100,4,80,3,100,0,0,0,0,2,67,0,0,0,0
Trinity Parish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,1,50,3,60,3,75,3,100,11,92,13,100,9,90,9,90,12,100,2,67,1,33,5,100,3,75,1,33,2,50,0,0,0,0,0,0,0,0
